Ticker,Daily Return_mean,Daily Return_std,Cumulative Return_mean,30 Day MA_mean,30 Day STD_mean,30 Day EMA_mean,RSI_mean,Bollinger High_mean,Bollinger Low_mean,Volume_mean,Principal Component 1,Principal Component 2
A,-0.0003048527424745758,0.016942461827704737,-0.1669559923891393,125.11235326361333,4.598074285160698,125.31923944324,47.61022662184156,134.3085018339347,115.91620469329192,1927390.0452488689,-0.9969963360524413,-1.658444229766007
AAL,-0.0006053224169227155,0.0212064328649715,0.12944588113717356,14.562555052036613,0.7993145791864186,14.542761947051597,47.50196405849957,16.16118421040945,12.963925893663777,27463985.97285068,-3.1796445030307847,0.12446912721023241
ABBV,0.00024803867827353555,0.01223528624346598,-0.06812418095184533,142.29711336391904,3.962378752412883,142.53643683456608,52.41155556538412,150.2218708687448,134.37235585909326,5410493.665158371,-0.39062165517364095,-0.16307941190175798
ABNB,0.001038814616679692,0.025862032005041884,0.49887834638420175,125.34385078971023,7.165676556999042,125.25610892863527,52.542504526300604,139.6752039037083,111.01249767571215,6295790.497737557,0.5089930625148655,1.8373771245523587
ABT,0.00021341555218015918,0.01272802015863456,-0.04512932678784495,101.71142351774789,3.2079698108514814,101.80213570886106,49.68380390591568,108.12736313945084,95.29548389604491,5218347.511312217,-1.0624882085701057,-0.33979371157083627
ACGL,0.000722014497783164,0.01649271136557818,0.21479739636040182,75.00458062633669,2.454982608276621,74.9171915695674,55.693865966851725,79.91454584288994,70.09461540978346,1990635.7466063348,-0.5014729654878843,1.7084409048508227
ACN,0.0010306687333126122,0.013388786549267942,0.1333849812409139,295.01641279079615,9.04403993248531,295.2014399002505,55.238288489335325,313.1044926557668,276.92833292582554,2239148.8687782804,2.502259978568122,0.4433606692047101
ADBE,0.0023057120452718866,0.020159854012430936,0.4235032719877097,464.1356644850511,22.095796421925826,464.20174920590784,56.368562355637636,508.32725732890276,419.9440716411994,3192980.995475113,6.170469741182652,1.0422465714552989
ADI,0.000654319574381648,0.016531110666889063,0.13946207684647685,179.32840795962878,5.517723130123807,179.44880585142977,51.81743319199035,190.3638542198764,168.29296169938115,3354915.8371040723,0.5439300210744011,0.2978155915821192
ADM,-0.0003934888672649393,0.013885919006840471,-0.12988240464678238,75.45998479575593,2.11582040636918,75.52280529733353,47.72501980104334,79.69162560849429,71.22834398301757,2895757.4660633486,-1.7584283283573112,-1.2073049164196294
ADP,0.00029400143796676865,0.012753017444829809,-0.024562095517170725,224.832434008384,5.512715756768602,224.96075215089147,52.304984286236234,235.8578655219212,213.80700249484678,1706302.2624434389,0.8693466551723027,-0.5322321696088071
ADSK,0.000567202814022577,0.01932075106968202,0.12426885138359253,206.85196526298697,6.873171720414002,206.8201651723106,51.783598490305806,220.59830870381495,193.10562182215895,1428651.1312217196,0.9815116345697984,-0.06834177018214783
AEE,-0.0005351921271873801,0.013940053371239599,-0.06512933919133784,80.06464511301724,2.04643337588662,80.07073824225714,47.8010078718817,84.15751186479046,75.97177836124399,1517507.2398190044,-1.6160239010085833,-1.1415877049991185
AEP,-0.00029423939757191334,0.013124406622973955,-0.10055956875260302,80.8071608737583,2.0276812130156263,80.87880141288618,47.76427071411632,84.86252329978957,76.75179844772705,3159350.6787330317,-1.6455879118471195,-1.050915360930187
AES,-0.0010677875989729907,0.02172473833590347,-0.28221343232178253,19.615070163502413,1.020887002797779,19.658895663148336,46.176892318155915,21.656844169097972,17.573296157906857,6351119.004524887,-3.0886166284060534,-2.1173526720047557
AFL,0.0008544714392052299,0.0119706091523381,0.030267584681106387,70.39310916538152,1.6933978446298419,70.42093773694302,55.706236718054804,73.7799048546412,67.00631347612183,2343401.3574660635,-0.8056520644625305,1.3714637529159888
AIG,0.0006565765165073213,0.016835201852377087,-0.05949967723068111,57.0841896540439,1.7825847221202213,57.13890736775627,55.89859879028866,60.64935909828434,53.51902020980346,3896895.0226244344,-1.1693977095514356,1.0073345340410067
AIZ,0.001299568237288701,0.017852043732668344,0.09206050147146985,133.13775585053733,4.396364407838271,133.23014108864004,54.12569046575434,141.93048466621389,124.34502703486079,393529.4117647059,0.2768975142283509,1.0866665494962922
AJG,0.0007608844569384528,0.012132379192733989,0.16823748191673238,213.41487898100195,5.046679911709156,213.27418609703463,56.08298594980524,223.50823880442027,203.32151915758362,872934.3891402715,1.325420322275522,0.993577959064539
AKAM,0.001458742281966419,0.01522861109938286,0.12223583503422249,93.3957512822446,3.2516530284355234,93.46342262515819,59.59055219600985,99.89905733911564,86.89244522537356,1608121.7194570135,0.1101238520137785,2.4114443575962934
ALB,-0.002320788362595321,0.03043764663929419,-0.11676126585587174,195.49831891412288,13.399173787263287,194.92579547869246,43.09729992185567,222.29666648864946,168.69997133959632,2357914.027149321,-0.31077654986028597,-4.332220394350629
ALGN,-0.00026844143439358405,0.03113977376873862,0.42655969710529373,305.61393562420466,21.677513107442564,305.0290229696513,49.456806969906395,348.96896183908973,262.2589094093195,892426.2443438914,3.2492770782823124,-1.1876841211687335
ALL,0.00038833793654712045,0.016725478078627423,-0.12200262447803996,114.46485114349319,4.129169068534071,114.67348557691923,52.836540478984496,122.72318928056133,106.20651300642506,1788785.9728506787,-0.5894482559437856,-0.2051462913668769
ALLE,0.00046132048244678725,0.01673121225063502,0.02559074667179344,108.16288937299679,3.8818893694860357,108.20966598205135,50.72846546371931,115.92666811196887,100.39911063402472,811916.2895927601,-0.5768770807247728,-0.021265717843947995
