Ticker,Daily Return_mean,Daily Return_std,Cumulative Return_mean,30 Day MA_mean,30 Day STD_mean,30 Day EMA_mean,RSI_mean,Bollinger High_mean,Bollinger Low_mean,Volume_mean,Principal Component 1,Principal Component 2,Cluster,Cluster_som,Cluster_kmeans,Cluster_dbscan,Cluster_agglomerative,Cluster_gmm,Cluster_hierarchical,Cluster_spectral
A,-0.0003048527424745,0.0169424618277047,-0.1669559923891393,125.11235326361331,4.598074285160698,125.31923944324,47.61022662184156,134.3085018339347,115.91620469329192,1927390.0452488689,-0.9969963360524412,-1.658444229766007,2,19.0,0,0,0,2,6,0
AAL,-0.0006053224169227,0.0212064328649715,0.1294458811371735,14.562555052036611,0.7993145791864186,14.542761947051597,47.50196405849957,16.16118421040945,12.963925893663776,27463985.97285068,-3.1796445030307847,0.1244691272102324,4,21.0,0,0,0,4,4,0
ABBV,0.0002480386782735,0.0122352862434659,-0.0681241809518453,142.29711336391904,3.962378752412883,142.53643683456608,52.41155556538412,150.2218708687448,134.37235585909326,5410493.665158371,-0.3906216551736409,-0.1630794119017579,0,0.0,0,0,0,5,6,0
ABNB,0.0010388146166796,0.0258620320050418,0.4988783463842017,125.34385078971025,7.165676556999042,125.25610892863529,52.54250452630061,139.6752039037083,111.01249767571215,6295790.497737557,0.5089930625148655,1.837377124552359,0,9.0,0,0,0,5,6,0
ABT,0.0002134155521801,0.0127280201586345,-0.0451293267878449,101.71142351774787,3.2079698108514814,101.80213570886106,49.68380390591568,108.12736313945084,95.29548389604491,5218347.511312217,-1.0624882085701055,-0.3397937115708362,0,23.0,0,0,0,4,5,0
ACGL,0.0007220144977831,0.0164927113655781,0.2147973963604018,75.00458062633669,2.454982608276621,74.9171915695674,55.693865966851725,79.91454584288994,70.09461540978346,1990635.7466063348,-0.5014729654878843,1.708440904850823,2,10.0,0,0,0,0,7,0
ACN,0.0010306687333126,0.0133887865492679,0.1333849812409139,295.0164127907961,9.04403993248531,295.2014399002505,55.238288489335325,313.1044926557668,276.92833292582554,2239148.8687782804,2.502259978568122,0.4433606692047101,2,4.0,1,0,0,5,3,1
ADBE,0.0023057120452718,0.0201598540124309,0.4235032719877097,464.1356644850511,22.095796421925822,464.20174920590784,56.36856235563764,508.3272573289028,419.9440716411994,3192980.995475113,6.170469741182652,1.0422465714552989,2,20.0,1,0,1,1,2,1
ADI,0.0006543195743816,0.016531110666889,0.1394620768464768,179.32840795962878,5.517723130123807,179.44880585142977,51.81743319199035,190.3638542198764,168.29296169938115,3354915.8371040723,0.5439300210744011,0.2978155915821192,0,2.0,0,0,0,5,6,0
ADM,-0.0003934888672649,0.0138859190068404,-0.1298824046467823,75.45998479575593,2.11582040636918,75.52280529733353,47.72501980104334,79.69162560849429,71.22834398301757,2895757.4660633486,-1.7584283283573112,-1.2073049164196294,2,3.0,0,0,0,0,7,0
ADP,0.0002940014379667,0.0127530174448298,-0.0245620955171707,224.832434008384,5.512715756768602,224.96075215089147,52.30498428623624,235.8578655219212,213.8070024948468,1706302.2624434389,0.8693466551723027,-0.5322321696088071,2,8.0,0,0,0,2,3,0
ADSK,0.0005672028140225,0.019320751069682,0.1242688513835925,206.85196526298697,6.873171720414002,206.8201651723106,51.783598490305806,220.59830870381492,193.10562182215892,1428651.1312217196,0.9815116345697984,-0.0683417701821478,2,8.0,0,0,0,2,3,0
AEE,-0.0005351921271873,0.0139400533712395,-0.0651293391913378,80.06464511301724,2.04643337588662,80.07073824225714,47.8010078718817,84.15751186479046,75.97177836124399,1517507.2398190044,-1.6160239010085833,-1.1415877049991183,2,10.0,0,0,0,0,7,0
AEP,-0.0002942393975719,0.0131244066229739,-0.100559568752603,80.8071608737583,2.0276812130156263,80.87880141288618,47.76427071411632,84.86252329978957,76.75179844772705,3159350.678733032,-1.6455879118471195,-1.050915360930187,2,3.0,0,0,0,0,7,0
AES,-0.0010677875989729,0.0217247383359034,-0.2822134323217825,19.615070163502413,1.020887002797779,19.658895663148336,46.17689231815592,21.65684416909797,17.573296157906857,6351119.004524887,-3.088616628406053,-2.117352672004756,0,18.0,0,0,0,0,5,0
AFL,0.0008544714392052,0.0119706091523381,0.0302675846811063,70.39310916538152,1.693397844629842,70.42093773694302,55.7062367180548,73.7799048546412,67.00631347612183,2343401.3574660635,-0.8056520644625305,1.3714637529159888,2,10.0,0,0,0,0,7,0
AIG,0.0006565765165073,0.016835201852377,-0.0594996772306811,57.0841896540439,1.7825847221202211,57.13890736775627,55.89859879028866,60.64935909828434,53.51902020980346,3896895.0226244335,-1.1693977095514356,1.0073345340410067,0,14.0,0,0,0,0,7,0
AIZ,0.0012995682372887,0.0178520437326683,0.0920605014714698,133.13775585053733,4.396364407838271,133.23014108864004,54.12569046575434,141.93048466621389,124.3450270348608,393529.4117647059,0.2768975142283509,1.0866665494962922,2,19.0,0,0,0,2,6,0
AJG,0.0007608844569384,0.0121323791927339,0.1682374819167323,213.41487898100195,5.046679911709156,213.27418609703463,56.08298594980524,223.50823880442027,203.3215191575836,872934.3891402715,1.325420322275522,0.993577959064539,2,8.0,0,0,0,2,3,0
AKAM,0.0014587422819664,0.0152286110993828,0.1222358350342224,93.3957512822446,3.2516530284355234,93.4634226251582,59.59055219600985,99.89905733911564,86.89244522537356,1608121.7194570135,0.1101238520137785,2.4114443575962934,2,12.0,0,0,0,2,6,0
