,Daily Return_mean,Daily Return_std,Cumulative Return_mean,30 Day MA_mean,30 Day STD_mean,30 Day EMA_mean,RSI_mean,Bollinger High_mean,Bollinger Low_mean,Volume_mean,Principal Component 1,Principal Component 2
count,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0
mean,0.00039620804228009354,0.016443156806807187,0.058985821699909124,151.61200950333978,5.13963227799827,151.6757468543724,51.588642974403285,161.89127405933633,141.33274494734323,3714161.7530416558,-1.515016494157996e-17,5.3025577295529864e-17
std,0.0008540070987403885,0.0043816310457543365,0.16730101336607042,142.66131475767912,5.121628042117403,142.74465066095277,3.517777272845063,152.2138165899031,133.2115013290105,4641063.578297702,2.3443062605875427,1.4664480027124538
min,-0.0023207883625953,0.0082503636325661,-0.354313652521603,9.548349253192749,0.2292109421016369,9.556307468316204,40.930208380102776,10.00677113739602,8.858642381997852,214302.7149321267,-4.149186317162994,-4.57441080617901
25%,-0.0001329310160872,0.0132500680591334,-0.0614900304612412,58.89442640106063,1.8947894091753277,58.904647475563145,49.19512391390748,62.69336290575893,55.10484758270998,1149687.3303167422,-1.5664941877024994,-0.9264901311925368
50%,0.0003393703849814,0.0157120802203611,0.0401850411077795,103.2952885404791,3.405893149487837,103.2400520178024,51.38873007232361,111.02539397832982,95.83558622094036,2059915.8371040723,-0.6083785718211273,-0.0207662564669905
75%,0.0009586237307049,0.0188197722493262,0.1445458221509138,198.1614479145493,6.204737219931869,198.2429193657739,54.177339983917335,211.356511391996,184.88693644937933,4373729.411764706,0.8693466551723027,0.910680031037711
max,0.0031138356345022,0.0311397737687386,0.706364061440458,909.593750579972,32.481880011962126,910.146087490383,61.48082142634824,952.68449477203,866.5030063879142,31393402.26244344,11.07640151948625,5.663817072559972
